ACCIDENT_TIME,DAY_OF_WEEK,LONGITUDE,LATITUDE,Suburbs,TOTAL_PERSONS,ACCIDENT_TYPE
15.16.00,Saturday,144.98853,-37.86813,PORT PHILLIP,2,Collision with vehicle
16.50.00,Sunday,144.0766,-37.58114,MOORABOOL,1,Collision with a fixed object
22.15.00,Friday,145.61791,-38.67206,BASS COAST,1,No collision and no object struck
14.04.00,Saturday,144.9908,-37.81288,MELBOURNE,3,Collision with vehicle
15.35.00,Saturday,145.08737,-37.76539,MANNINGHAM,2,Collision with a fixed object
19.30.00,Saturday,144.96254,-37.82386,MELBOURNE,2,Collision with vehicle
18.34.00,Saturday,144.59896,-37.66913,MELTON,3,Collision with vehicle
18.30.00,Thursday,145.15512,-37.84219,WHITEHORSE,1,Collision with vehicle
17.15.00,Friday,142.16856,-34.18705,MILDURA,2,Collision with vehicle
16.40.00,Friday,146.16235,-38.21516,BAW BAW,2,Collision with vehicle
16.25.00,Friday,144.2937,-37.09956,MOUNT ALEXANDER,1,Collision with a fixed object
19.10.00,Friday,144.56744,-37.68815,MELTON,2,Collision with vehicle
17.00.00,Friday,144.90789,-37.79528,MARIBYRNONG,2,Collision with vehicle
18.25.00,Friday,144.76032,-37.56575,HUME,3,Collision with vehicle
18.40.00,Wednesday,144.95712,-37.84383,PORT PHILLIP,2,Collision with vehicle
19.50.00,Wednesday,145.15079,-37.8526,WHITEHORSE,2,Collision with vehicle
19.46.00,Wednesday,144.24524,-36.78857,BENDIGO,5,Struck Pedestrian
21.15.00,Wednesday,144.99186,-37.74852,DAREBIN,1,Collision with vehicle
18.00.00,Friday,145.00266,-37.85312,STONNINGTON,2,Collision with vehicle
19.23.00,Friday,142.34999,-38.2901,MOYNE,2,Collision with vehicle
20.45.00,Friday,144.39146,-38.17048,GEELONG,2,Collision with vehicle
19.25.00,Saturday,144.97572,-37.79305,MELBOURNE,7,Collision with vehicle
22.30.00,Saturday,146.69697,-36.35492,INDIGO,2,Struck Pedestrian
23.35.00,Saturday,144.95801,-37.68953,HUME,5,Collision with vehicle
20.54.00,Saturday,144.88149,-37.8303,HOBSONS BAY,2,Struck Pedestrian
02.45.00,Sunday,144.74766,-36.12664,CAMPASPE,2,Struck Pedestrian
03.15.00,Sunday,144.50728,-38.21261,GEELONG,1,Collision with a fixed object
00.15.00,Sunday,144.88877,-37.70512,HUME,3,Collision with vehicle
03.47.00,Sunday,145.1355,-38.03578,KINGSTON,2,Struck Pedestrian
06.35.00,Sunday,145.0907,-38.01288,KINGSTON,1,Collision with vehicle
18.20.00,Friday,145.24696,-37.98389,CASEY,2,Collision with vehicle
19.41.00,Friday,144.98259,-37.80873,YARRA,2,Struck Pedestrian
05.45.00,Friday,145.13486,-38.15716,FRANKSTON,2,Collision with vehicle
19.35.00,Friday,145.35484,-37.75749,YARRA RANGES,4,Collision with vehicle
21.40.00,Friday,144.79369,-37.7277,BRIMBANK,1,Collision with a fixed object
16.30.00,Friday,143.85543,-37.55737,BALLARAT,3,Collision with vehicle
22.10.00,Friday,145.07462,-37.81765,BOROONDARA,1,Collision with vehicle
23.25.00,Friday,144.92385,-37.63771,HUME,2,Collision with a fixed object
23.15.00,Thursday,145.28762,-38.05576,CASEY,2,Collision with a fixed object
04.20.00,Friday,145.09515,-37.89441,MONASH,4,Collision with a fixed object
18.45.00,Friday,148.7389,-37.69567,EAST GIPPSLAND,2,Collision with vehicle
23.00.00,Wednesday,145.08983,-37.70317,BANYULE,3,Collision with vehicle
19.20.00,Tuesday,144.99745,-37.7446,DAREBIN,2,Collision with vehicle
21.15.00,Wednesday,142.48206,-38.37796,WARRNAMBOOL,4,Collision with vehicle
01.00.00,Thursday,143.25069,-38.25359,CORANGAMITE,1,Struck animal
18.05.00,Sunday,144.96316,-37.81425,MELBOURNE,2,Struck Pedestrian
18.20.00,Monday,144.56345,-37.68465,MELTON,3,Collision with vehicle
18.20.00,Monday,144.93743,-37.71394,MORELAND,1,Collision with a fixed object
00.18.00,Monday,143.3404,-36.13645,BULOKE,1,Collision with a fixed object
19.10.00,Monday,145.22066,-37.73488,NILLUMBIK,2,Struck Pedestrian
18.55.00,Monday,145.08489,-37.79468,BOROONDARA,2,Struck Pedestrian
20.55.00,Monday,144.94553,-37.80259,MELBOURNE,2,Struck Pedestrian
18.40.00,Monday,145.1271,-37.9144,MONASH,2,Struck Pedestrian
08.35.00,Sunday,144.98261,-37.8161,MELBOURNE,3,Collision with vehicle
18.45.00,Friday,145.06585,-37.86179,BOROONDARA,2,Collision with vehicle
23.55.00,Thursday,144.95657,-37.82433,MELBOURNE,2,Struck Pedestrian
16.45.00,Saturday,145.21367,-37.99797,DANDENONG,2,Struck Pedestrian
07.00.00,Sunday,144.85537,-37.78551,MARIBYRNONG,2,Collision with a fixed object
15.16.00,Saturday,143.88485,-37.60476,BALLARAT,1,Vehicle overturned (no collision)
02.30.00,Saturday,144.95964,-37.81527,MELBOURNE,2,Struck Pedestrian
05.25.00,Saturday,145.00288,-37.41162,MITCHELL,1,No collision and no object struck
16.30.00,Saturday,145.27632,-37.99092,CASEY,2,Collision with vehicle
17.00.00,Saturday,145.21664,-37.8172,MAROONDAH,3,Collision with vehicle
14.00.00,Saturday,145.06069,-37.81037,BOROONDARA,3,Collision with vehicle
09.20.00,Sunday,147.08309,-37.96411,WELLINGTON,2,Collision with vehicle
19.00.00,Wednesday,144.34241,-38.19567,GEELONG,4,Collision with vehicle
16.00.00,Sunday,144.11305,-38.33081,SURF COAST,1,Collision with a fixed object
18.50.00,Wednesday,144.6136,-37.88768,WYNDHAM,2,Collision with vehicle
20.30.00,Monday,145.19549,-37.92313,MONASH,2,Collision with vehicle
19.10.00,Monday,144.86297,-37.79419,MARIBYRNONG,1,Collision with a fixed object
23.40.00,Sunday,145.11366,-37.68942,NILLUMBIK,2,Collision with a fixed object
22.40.00,Monday,145.12218,-37.77871,MANNINGHAM,2,Collision with a fixed object
22.30.00,Tuesday,145.1163,-37.94294,KINGSTON,2,Collision with vehicle
18.30.00,Monday,145.19106,-37.95984,DANDENONG,2,Collision with vehicle
09.30.00,Sunday,145.50839,-37.775,YARRA RANGES,4,Collision with vehicle
16.09.00,Sunday,144.98506,-37.84553,STONNINGTON,3,Collision with vehicle
16.30.00,Sunday,145.00262,-37.84034,STONNINGTON,3,Collision with vehicle
18.30.00,Wednesday,146.321,-36.35805,WANGARATTA,2,Collision with vehicle
16.15.00,Sunday,144.84681,-37.81617,BRIMBANK,2,Collision with vehicle
17.20.00,Sunday,144.98081,-37.88517,PORT PHILLIP,2,Collision with vehicle
00.25.00,Monday,144.28347,-36.75017,BENDIGO,1,Collision with a fixed object
01.38.00,Saturday,145.27644,-38.08224,CASEY,1,Collision with a fixed object
15.10.00,Saturday,142.87143,-38.47436,CORANGAMITE,3,Collision with vehicle
21.37.00,Saturday,144.85863,-37.7805,MARIBYRNONG,1,Collision with a fixed object
18.25.00,Saturday,144.74791,-37.58637,HUME,1,Collision with a fixed object
22.28.00,Saturday,144.3473,-38.14579,GEELONG,1,Collision with a fixed object
21.30.00,Saturday,144.9573,-37.65816,HUME,3,Collision with vehicle
21.25.00,Saturday,144.96135,-37.77156,MORELAND,7,Collision with vehicle
17.11.00,Saturday,144.45365,-38.19609,GEELONG,2,Collision with vehicle
02.00.00,Sunday,145.2749,-37.83327,MAROONDAH,1,Collision with vehicle
23.20.00,Saturday,143.85774,-37.56211,BALLARAT,7,Collision with vehicle
05.15.00,Saturday,145.22732,-37.82019,MAROONDAH,1,Collision with a fixed object
04.40.00,Sunday,144.35791,-38.15343,GEELONG,2,Collision with vehicle
19.30.00,Thursday,144.87786,-37.82519,HOBSONS BAY,3,Collision with vehicle
18.28.00,Monday,145.13348,-37.84584,WHITEHORSE,2,Struck Pedestrian
14.28.00,Saturday,144.9831,-37.85786,PORT PHILLIP,5,Collision with vehicle
07.15.00,Saturday,145.09301,-37.61309,WHITTLESEA,2,Collision with vehicle
08.30.00,Sunday,145.33371,-37.55764,NILLUMBIK,1,No collision and no object struck
08.35.00,Sunday,146.24307,-36.20496,WANGARATTA,1,Collision with a fixed object
01.30.00,Sunday,144.13632,-37.26271,HEPBURN,1,Vehicle overturned (no collision)
07.40.00,Sunday,145.08453,-37.87717,STONNINGTON,3,Collision with vehicle
02.30.00,Sunday,141.60292,-38.21443,GLENELG,1,Vehicle overturned (no collision)
21.55.00,Thursday,144.88309,-37.7886,MARIBYRNONG,4,Collision with vehicle
05.44.00,Thursday,144.80836,-37.83,WYNDHAM,1,Collision with a fixed object
21.28.00,Thursday,144.78198,-37.68727,BRIMBANK,1,No collision and no object struck
23.30.00,Thursday,144.98511,-38.29525,MORNINGTON PENINSULA,1,Collision with a fixed object
18.10.00,Tuesday,145.23281,-37.89911,KNOX,3,Collision with vehicle
18.30.00,Tuesday,144.82837,-37.77911,BRIMBANK,2,Struck Pedestrian
20.15.00,Tuesday,144.89658,-38.35808,MORNINGTON PENINSULA,3,Collision with vehicle
21.50.00,Tuesday,145.10402,-38.16008,FRANKSTON,1,Collision with a fixed object
23.00.00,Tuesday,144.95829,-37.79255,MELBOURNE,2,Collision with vehicle
17.00.00,Sunday,145.30028,-38.05959,CASEY,3,Collision with vehicle
16.40.00,Sunday,145.33837,-37.88387,YARRA RANGES,2,Collision with vehicle
17.35.00,Saturday,144.88821,-37.79854,MARIBYRNONG,6,Collision with vehicle
16.05.00,Sunday,144.88313,-37.84247,HOBSONS BAY,2,Collision with vehicle
16.23.00,Sunday,145.2681,-38.03108,CASEY,2,Collision with vehicle
16.00.00,Sunday,145.34772,-37.95405,YARRA RANGES,4,Collision with vehicle
17.10.00,Sunday,145.11169,-37.97228,KINGSTON,10,Collision with vehicle
18.00.00,Sunday,145.14029,-37.77358,MANNINGHAM,1,No collision and no object struck
19.50.00,Sunday,143.53777,-37.25998,PYRENEES,3,Vehicle overturned (no collision)
22.50.00,Wednesday,144.76969,-37.86293,HOBSONS BAY,1,Collision with a fixed object
01.45.00,Thursday,143.85774,-37.56211,BALLARAT,2,Collision with vehicle
19.00.00,Wednesday,145.43234,-36.4514,SHEPPARTON,3,Struck Pedestrian
19.10.00,Wednesday,145.0674,-37.68829,BANYULE,1,Collision with a fixed object
18.18.00,Wednesday,144.94892,-37.75915,MORELAND,3,Collision with vehicle
01.38.00,Wednesday,145.19153,-37.80696,WHITEHORSE,1,Collision with a fixed object
